SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0050150,61,76,33,117,44,70,54,168,35,56,13,44,99,101,1,16,15,6,0,10,0,4,0,87,168,121,152,161,16,52,118
0050151,168,223,187,409,137,318,210,177,405,44,20,345,157,45,304,285,375,9,452,529,,20,,156,329,247,466,392,7,569,426
0050157,361,386,73,292,296,96,10,218,280,73,73,196,176,297,117,165,198,305,148,11,,,,152,86,192,137,211,222,157,97
0050160,,,,,,,,1,9,-2,,1,,1,,,,,5,,16,1,,9,20,-14,3,6,14,,
0050161,,,,,,3,,,5,,,109,,,,,1,,6,-6,,,,6,1,,,,4,,1
0050164,443,182,106,240,169,405,135,251,125,218,133,209,239,166,395,139,173,133,242,195,84,11,3,138,354,482,131,167,231,399,287
0050165,82,97,56,122,30,329,49,89,108,39,7,85,95,45,76,34,125,55,28,65,36,29,43,41,234,,181,32,17,59,11
0050166,14,2,20,1,5,28,,10,12,10,5,15,56,8,26,40,24,24,5,11,23,1,3,4,1,,18,,4,13,17
0050167,38,9,3,12,,6,8,6,,22,16,2,5,,9,2,10,9,,16,25,4,13,23,32,18,58,6,14,23,4
0050172,603,309,79,243,65,207,87,124,205,25,33,197,265,32,88,56,149,72,52,117,49,19,103,21,142,10,116,204,87,34,2
0050173,1,5,37,13,,,59,,5,,,18,40,2,3,,10,23,1,,18,,34,5,20,36,10,,6,,12
0050174,20,28,1,2,16,3,,30,5,11,1,15,6,5,9,64,39,6,8,1,31,6,12,11,10,15,1,,4,23,17
0050175,,,9,1,,45,14,11,1,21,1,14,16,,10,6,16,8,2,9,19,8,,7,18,6,17,12,34,,13
0050177,,2,,3,,4,,,,,,,,,,,4,,6,,,,,1,,,,,1,,
0050179,2,1,,26,25,27,10,11,8,15,8,14,70,42,10,27,13,29,24,33,33,20,78,5,2,,53,75,49,26,38
0050180,,,,,12,,,1,38,14,18,34,30,1,27,17,12,33,15,3,27,10,13,38,34,15,124,,19,70,25
0050181,77,24,35,112,64,21,77,39,108,26,33,12,54,13,36,31,31,27,25,1,40,10,15,40,24,18,16,111,6,69,3
0050182,5,1,,,3,3,8,,,3,1,,,,6,,5,8,,,20,8,,2,8,,10,,6,5,
0050183,1,5,2,5,,13,20,,11,5,7,9,3,,,1,7,6,,6,9,,,4,1,,6,15,15,,
0050185,49,28,7,28,6,29,6,7,22,25,7,1,24,7,7,1,31,61,23,0,21,9,22,47,11,12,31,42,17,49,20
0050186,6,,,23,6,21,59,20,26,1,2,17,17,11,17,87,15,,22,9,20,7,16,4,13,41,30,22,14,16,8
0050190,45,10,2,74,10,61,15,24,102,32,34,21,57,40,44,43,40,28,17,79,44,34,39,43,79,3,80,81,107,50,67
0050191,51,,,,1,,,,,1,,,1,3,6,1,5,8,,2,23,2,7,4,10,2,7,1,4,,4
0050193,,2,,2,,2,3,,,,,,2,0,2,,1,,,,8,,0,,9,,,,,,
0050194,8,22,6,17,21,20,13,2,14,14,1,8,25,1,8,1,21,8,6,12,27,,3,,14,6,8,17,16,25,
0050195,118,1,20,107,53,51,150,49,36,13,,129,,33,74,149,,,176,32,,,,124,94,74,62,106,134,223,61
0050196,4,,,17,13,5,1,13,6,5,8,12,16,8,1,14,9,25,11,37,,,,5,38,2,39,60,,15,40
0050197,25,28,34,8,7,28,9,33,4,23,6,1,10,41,17,7,33,31,19,12,18,14,5,13,58,14,13,19,15,56,9
0050199,33,3,16,28,9,20,22,2,44,,,9,27,32,32,22,17,23,11,25,18,16,,24,34,4,14,93,,12,11
0050201,197,45,44,39,273,39,11,72,27,54,87,286,398,54,66,61,30,149,41,151,64,263,71,139,60,75,61,76,66,110,141
