SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0120125,1,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,
0120126,,,,,1,1,,,,,,,8,,,,,,,,,,,,,,,,,,
0120128,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
0120136,,,,,,,,,,,1,,8,,,,,,,,,,,,,,,,,,
0120138,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,
0120140,,,,,,,,,,,,2,64,,,,,,,,,,,,,,,,,,
0120142,,,,,,1,,,,,,,14,,,,,,,,,,,,,,,,,,
0120143,,,,,,1,,,,,1,,5,,,,,,,,,,,,,,,,,,
0120144,,,,,,9,,,,,,,3,,,,,,,,,,,,,,,,,,
0120146,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
0120147,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,
0120151,,,,,,2,,,,,,,8,,,,,,,,,,,,,,,,,,
0120164,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0120165,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,
0120182,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,
0120183,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,
0120185,,,,,,25,,,,15,,,27,,,,,,,,,,,,,,,,,,
0120187,,,,,,1,,,,,,,28,,,,,,,,,,,,,,,,,,
0120188,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,
0120194,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
0120199,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0120204,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,
0120206,,,,,,50,,,,,,,42,,,,,,,,,,,,,,,,,,
0120209,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,
0120218,,,,,1,,,,,,,3,444,,,,,,,,,,,,,,,,,,
0120219,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,
0120220,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,
0120221,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
0120222,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,
0120227,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
0120229,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0120232,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
0120234,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
0120261,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,
0120269,,,,,,,,,,,,1,38,,,,,,,,,,,,,,,,,,
0140095,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
0140096,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,
0140097,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0140297,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
0140298,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,
0200100,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,3,1
0200102,,,,,,,,,1,,1,,3,,,1,3,2,,1,,,7,2,,,,,,,
0200300,,,1,,2,,0,,,,,,,,,,,,,,,,,,,,,,,,
0200312,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
0200325,,,,,,,2,6,,1,2,,4,3,2,,,,,,,,,,,,,,,,
0210150,54,8,,6,,,1,8,,34,10,1,25,15,217,-192,,,2,2,2,,,,,,,,,,
0210155,25,26,38,21,54,,7,80,66,8,112,52,35,116,106,-73,,2,22,118,1,,,,16,9,120,24,,,
0210160,8,35,10,123,,,,,,,,,20,,,,,,2,,,,,,,,,,,,
0210165,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0210170,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0210175,,6,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
0210180,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0210185,24,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
0211505,3,3,,19,,,,,,2,,,,,,,,6,,,,1,,,,,,,,,
0211530,1,2,4,,2,,,,,5,3,,,,,,,10,,,,,,,,,,,,,
0218000,-22,25,50,5,25,13,2,17,17,107,136,81,55,19,44,2,42,10,7,1,,,,,6,,,2,,,
0218005,1,1,,8,15,9,,8,3,55,67,68,25,14,,,37,,2,1,5,,,1,,,,,,,
