Cantidad,Importe
1237,77293.92
703,77242.3
548,77238.63
176,77165.34
1334,77102.34
1285,76939.87
1393,76914.57
695,76790.17
1483,76667.11
84,76539.88
3897,76538.79
6333,76512.32
1036,76511.46
842,76504.54
9747,76449.9
47,76286.66
1270,76256.68
699,76194.9
40,76103.94
2725,75976.88
27,75868.87
681,75841.72
874,75770.85
248,75766.8
48,75716.07
1397,75688.81
35604,75484.61
1524,75367.26
11,75322.12
781,75217.37
35,75114.36
1149,75023.77
667,74910.13
43,74882.26
363,74799.43
46743,74738.77
6481,74637.29
789,74613.99
97,74604.6
163,74471.73
55,74471.14
2232,74463.93
209,74419.26
112,74408.27
54403,74344.33
1966,74340.09
742,74208.51
964,74207.52
360,74169.24
16224,74000.81
335,73970.45
17483,73811.35
11294,73757.93
453,73746.85
2648,73691.93
12,73513.38
336,73490.45
491,73459.54
200,73423.06
232,73399.8
13779,73317.75
1762,73250.52
3772,73179.12
8078,73176.66
225,73165.45
423,73124.4
68,73074.91
1653,73042.72
9203,72967.51
4174,72942.79
939,72847.37
981,72771.82
452,72630.72
240,72550.38
8807,72474.07
181,72450.28
1002,72429.78
14292,72345.61
99,72336.26
162,72287.64
504,72256.1
54,72249.98
1082,72236.6
1302,72214.23
582,72094.87
153,72084.09
145,72048.11
100,72011.64
164,71970.72
37,71909.64
892,71879.44
69,71727.39
95,71689.85
1023,71672.64
27,71670.52
23,71530.5
1541,71491.14
29,71391.75
487,71358.86
10377,71242.1
41,71241.42
1016,71195.91
1548,71186.07
6126,71161.95
105,71157.97
616,71150.72
67038,71114.33
6809,71047.33
1510,70935.32
66,70811.46
30,70733.08
932,70696.13
353,70600.54
109,70583.39
1031,70504
16794,70395.82
179,70369.69
35,70365.98
77073,70321.27
89,70268.85
24982,70265.68
599,69979.22
10224,69923.87
1834,69811.84
38,69701.58
333,69643.23
70,69640.38
4465,69630.74
724,69619.59
376,69528.24
12391,69344.34
88,69340.21
428,69321.66
600,69260.71
477,69242.82
1281,69186.8
765,69092.48
1191,68944
772,68912.21
1696,68904.19
1501,68894.04
23,68780.37
2588,68769.88
27044,68767.07
2739,68744.51
2820,68715.47
1613,68672.31
1895,68634.17
64393,68614.87
230,68596.41
8227,68585.8
2068,68527.9
263,68515.63
228,68479.01
2671,68453.23
47,68373.48
72,68368.77
2645,68300.91
3015,68254.95
571,68215.35
604,68102.36
5104,68032.87
16912,67910.38
4901,67855.04
64,67825.55
6155,67763.96
100,67719.95
178,67687.33
27751,67663.01
11662,67612.94
595,67608.74
1034,67551.65
62,67527.98
505,67516.19
758,67317.31
1020,67297.24
10677,67269.02
3016,67239.37
276,66949.44
50,66891.18
52,66883.38
2573,66849.05
798,66821.56
224,66771.06
418,66679.61
32,66675.32
880017,66625.57
221,66537.54
1214,66511.02
1657,66489.52
81201,66455.31
7253,66440.54
2827,66422
2131,66325.35
4189,66294.27
1794,66144.45
3031,66110.19
260,66030.58
463,65968.89
145,65953.06
37,65884.11
372,65809.96
2049,65733.16
9361,65719.97
1940,65653.55
1085,65618.21
498,65582.79
2561,65532.03
656,65499.44
23,65416.28
38016,65342.96
335,65277.37
221,65169.64
1025,65147.03
567,65085.99
6141,65050.54
1220,64984.49
386,64977.15
53,64949.65
409,64901.1
5165,64850.06
998,64841.43
141,64835.72
129,64767.02
37,64733.26
219,64714.84
46,64666.76
264,64602.14
507,64584.46
136,64460.45
576,64425.75
1986,64371.58
2496,64308.24
699,64219.05
7783,64149.34
237,64072.31
509,64050.87
114,64041.86
41,63984.15
58,63968.66
30,63929.32
4076,63917.23
929,63892.12
1165,63859.24
2313,63786.6
15,63770.19
1972,63769.68
6618,63565.59
5370,63565.27
615,63563.9
2783,63555.32
1799,63488.23
1592,63407.81
455,63377.15
2430,63366.81
19235,63273.59
1210,63247.59
22,63152.99
35392,63086.27
349,63061.64
132,63013.63
6566,62977.04
1215,62974.42
661,62962.19
29268,62802.72
23937,62736.45
1231,62711.91
50,62629.62
48102,62555.1
1411,62395.9
2161,62336.13
3577,62270.69
217,62223.38
1529,62160.79
2018,62079.79
2196,62027.75
32,62017.45
1869,61863.06
2347,61855.92
589,61758.7
9015,61695.25
4796,61652.34
1015,61619.77
34,61595.31
152,61577.91
32,61565.9
18909,61513.8
2033,61372.81
718,61249.55
238,61176.02
433,61119.32
417,61106.73
2877,61007.72
11894,60981.47
449,60926.31
1353,60878.2
5052,60875.71
20,60762.1
1036,60706.32
4935,60669.92
691,60527.93
5362,60527.39
7774,60505.22
2462,60444.53
1621,60424.35
727,60382.5
221,60380.65
19,60324.1
1483,60321.42
25,60285.34
989,60258.54
30,60247.34
309,60242.53
19074,60170.57
7949,60102.11
1413,60040.56
443,60006.96
849,59986.91
5,59910.7
176,59829.24
8533,59800.88
10836,59778.12
25,59743.77
630,59702.7
86,59695.63
1300,59595.51
5553,59517.92
1614,59374.93
1929,59344.37
8483,59320.13
270,59277.44
1910,59119.55
176,59098.6
5640,59090.52
1700,58945.86
734,58715.04
77,58689.35
400,58636.2
167,58583.57
1174,58546.44
13,58531.55
1697,58526.57
1365,58503.42
5001,58447.37
561,58402.62
811,58388.04
197,58384.88
710,58357.31
9,58276.17
34697,58263.57
29,58187.18
628,58174.91
166,58132.02
1901,58131.17
2151,58060.78
233,58060.4
169,58046.12
2176,58003.75
1174,57985.43
6248,57965.41
1071,57946.81
27100,57902.61
305,57849.68
25,57716.49
1254,57703.01
13,57654.45
664,57584.18
2515,57579.31
867,57560.72
94,57443.94
164,57415.34
295,57368.87
11188,57338.89
191,57337.56
12716,57322.72
3040,57243.58
23,57180.37
396,57144.88
3199,57131.96
72,57083.12
2019,57080.59
1590,56970.4
246,56839.73
533,56816.15
19612,56725.05
245,56653.47
9434,56627.6
167,56627.5
4958,56609.4
638,56590.88
11777,56377.93
5106,56347.18
3236,56308.77
353,56203.55
1568,56127.23
1444,56124.63
102,56106.72
100,56088.49
621,56068.06
753,56041.72
960,55972.77
244,55970.2
123,55966.2
304,55836.35
183,55818.22
3244,55767.99
443,55765.46
36,55733.63
871,55706.46
1454,55610.39
4291,55608.27
1085,55494.93
7568,55341.28
70,55312.71
237,55248.12
3314,55243.4
3050,55194.27
196,55161.48
517,55147.63
1534,55137.59
1271,55113.96
4655,55109.22
9,55108.95
26442,55039.33
1004,54991.8
459,54987.04
260,54905.02
323,54898.59
1009,54785.96
2820,54759.3
18,54756.41
962,54651.91
748,54647.4
203,54559.85
10,54458.68
8984,54458.06
510,54420.51
969,54408.9
2790,54299.46
13481,54180
157,54174.68
3228,54174.38
2253,54169.19
391,54091.54
1352,54083.43
180,54074.37
5069,53953.62
1993,53888.19
632,53875.48
985,53870.06
1508,53787.5
1511,53708.34
5717,53690.83
412,53673.77
1107,53611.33
385,53582.61
3102,53545.64
110,53537.14
66,53534.78
5415,53530.53
16089,53322.02
757,53297.14
14258,53259.63
8239,53256.92
1235,53152.92
131,53126.4
3978,53124.64
7779,53010.05
863,53002.81
599,52941.36
444,52893.69
140,52887.51
27,52884.82
9986,52853.36
93,52805.68
2116,52796.85
362,52726.82
310,52553.88
39,52465.99
246,52450.08
90,52430.42
368,52413.33
728,52367.59
589,52346.94
751,52298.27
2934,52254.56
234,52252.41
8132,52157.53
1704,52117.65
991,52115.2
16565,52051.79
1523,52027.97
8,52024.89
198,52002.53
963,51996.43
303,51984.76
79639,51979.6
328,51950.74
107,51884.54
2292,51873.46
47,51866.98
36568,51830.16
179,51780.62
2753,51773.93
11,51759.13
1803,51747.14
845,51735.62
97,51690.31
929,51680.12
1056,51650.73
19991,51634.07
809,51609.4
635,51592.68
4103,51536.29
4969,51533.97
116,51522.76
691,51498.74
417,51497.88
2991,51497.34
1059,51427.63
89,51411.65
694,51406.79
164,51334.1
1202,51325.16
