SKU,Compras,Ventas
1755000,68,53
1755001,14,8
1755003,4,2
1755004,7,1
1755005,95,85
1755006,4,2
1755009,3,2
1755010,8,6
1755011,4,1
1755012,5,2
1755014,11,7
1755015,9,7
1755016,6,4
1755017,5,4
1755019,504,472
1755021,4,3
1755022,41,39
1755025,20,14
1755026,6,5
1755027,4,1
1755029,7,2
1755030,10,6
1755031,3,1
1755032,13,9
1755033,13,10
1755034,11,10
1755035,20,15
1755036,8,4
1755037,13,9
1755038,36,32
1755039,15,10
1755040,2,1
1755043,16,14
1755044,24,19
1755045,4,1
1755046,9,5
1755051,6,4
1755053,4,1
1755055,4,1
1755056,5,1
1755057,15,10
1755058,8,1
1755059,10,6
1755060,4,3
1755061,8,4
1755062,4,2
1755063,7,7
1755066,3,1
1755068,11,10
1755071,2,1
1755072,20,12
1755075,5,4
1755076,321,311
1755077,8,3
1755078,3,3
1755079,22,18
1755080,2,1
1755081,8,3
1755082,9,4
1755083,6,1
1755084,57,57
1755085,42,37
1755086,10,7
1755087,31,28
1755088,8,4
1755089,2,1
1755090,25,18
1755091,18,16
1755092,6,4
1755093,27,24
1755094,22,17
1755095,28,24
1755096,38,35
1755098,3,1
1755099,130,120
1755100,9,5
1755101,3,1
1755102,14,13
1755103,14,10
1755104,15,11
1755105,7,4
1755107,5,2
1755108,7,4
1755109,5,2
1755110,34,29
1755111,12,9
1755115,37,31
1755116,7,5
1755117,6,3
1755118,6,2
1755119,14,6
1755120,6,2
1755121,25,13
1755124,38,30
1755125,9,5
1755126,4,2
1755127,6,2
1755129,6,4
1755130,254,230
1755131,146,129
1755132,39,34
1755134,219,181
1755135,28,28
1755136,87,86
1755138,5,3
1755139,4,3
1755140,5,3
1755141,16,12
1755142,7,4
1755144,11,8
1755145,44,14
1755146,9,6
1755147,4,1
1755148,4,2
1755149,11,10
1755150,22,16
1755151,15,12
1755152,40,24
1755153,32,27
1755154,13,10
1755155,14,9
1755156,11,8
1755157,26,21
1755158,4,1
1755159,7,5
1755160,11,5
1755161,8,5
1755162,8,7
1755163,4,3
1755164,67,67
1755165,7,6
1755166,12,10
1755167,4,1
1755168,12,10
1755169,2,1
1755170,13,7
1755171,4,2
1755172,5,1
1755173,5,1
1755174,6,2
1755175,2,1
1755176,100,1
1755178,8,5
